Название компетенции;Разделы
интеграция систем;
разрешение конфликтов и проблем;
Деловой этикет;
Коммуникабельность;
креативное и инновационное мышление;
лидерские качества, умение вести за собой и внушать доверие;
понимание новых технологий;
понимание существующих систем и технологий;
"построение отношений в коллективе и командная работа; влияние и убеждение";
применение процедур, средств и методов;
проектирование и разработка прикладных систем;
проектирование технической архитектуры;
стратегическое мышление;
Тайм-менеджмент;
умение адаптироваться;
умение вести переговоры;
умение давать наставления, делегировать полномочия и развивать персонал;
Умение обучать;
Умение работать в команде;
фокус на результатах;
Целеполагание;
